site_name,temperature,humidity,pm2_5_lag1,pm2_5_roll7,temp_roll7,latitude,longitude
"Athi, Nairobi",23.3876454248366,68.32848644819234,16.73,18.72714285714286,24.456569582014463,-1.2629556662981347,37.09115751104815
Baba Dogo,25.939907206808346,62.49888989456658,19.695,20.918571428571433,24.42955164255728,-1.2392947668196062,36.88831892637334
Birongo Square Nairobi West,21.336499162530508,66.69276104797979,21.04,20.774285714285714,21.302919592347973,-1.3042758673673431,36.82116300764013
Buruburu I,22.705626125424324,61.50294820047431,20.17,22.285714285714285,22.89350010652902,-1.277143559565543,36.879081706697704
"Buruburu, Makadara, Nairobi, kenya",2.094814049586777,10.624090909090908,18.73,19.43857142857143,2.094814049586777,-1.2833654898448668,36.885239437428446
Chokaa,20.74453632842026,68.2674038938492,18.42,18.794285714285714,20.790346747136617,-1.2549761296045856,36.95229609663014
Dandora III,22.197814980158732,65.97943596230158,19.08,21.451428571428576,22.172158588435376,-1.2443995411572868,36.90941122704103
Dandora Phase I,23.412615337168774,64.18156384617704,21.57,22.512857142857143,23.326339667631515,-1.2621668667548558,36.89367117479748
Dandora Phase II,25.10370064176987,60.648825901559455,24.125,25.125714285714288,25.185774595358374,-1.2482946784224271,36.90570294746973
Dennis Pritt Rd,20.420625993781353,69.72372732383357,23.75,27.782857142857146,20.323083300066262,-1.2789626704707489,36.795293910450674
"Donholm, Embakasi east, Nairobi",23.280257699201563,64.93139024975713,18.535,19.57071428571429,23.07259145686192,-1.292882176877726,36.89724958260057
Drumvale Drive Kamulu,22.789999433106576,64.36499517593269,14.27,14.821428571428571,22.69449808051876,-1.2930498458078974,37.04164410105868
"Fire Station, Nairobi",21.73739079670329,64.55968336640211,27.57,30.06142857142857,22.140981751491015,-1.2811619629502369,36.82771842956958
Githurai 44,22.816152557319224,66.57241547619047,21.085,22.87392857142857,22.74849564224734,-1.1975643664374027,36.91399298449841
Huruma Estate,21.47442467279309,68.2797435515873,22.16,23.385714285714283,21.328089580062795,-1.2550693063200573,36.87627935031954
Industrial Area,26.070044125465177,70.63011656310915,21.905,23.16142857142857,25.944122610614137,-1.3108796874685635,36.857376691582566
JKUAT IEET,24.11805501801789,63.409274513741614,19.26,20.18142857142857,23.941493333446495,-1.096428054256671,37.01504856555772
Juja Road,23.56666971639316,63.62235736090385,24.77,25.925714285714285,23.277316748150618,-1.26427,36.85825
Kabete Vetlab,19.11589914021164,75.26824818121693,18.595,19.36642857142857,19.268779809145883,-1.2679538767555123,36.72147760952905
Kabiria,18.855163740079362,76.21457936507937,16.07,21.82,18.778092362995057,-1.2908087792207792,36.71777187797619
Kagira,20.411769441987325,77.44226855079154,20.82,20.925,20.484673405985202,-1.277440483333978,36.69869476761724
Kangundo Road,23.696241577307525,60.24812163923742,18.795,19.495,23.73420036828908,-1.2698371357254492,36.90014792797234
Karen,19.42300854037267,70.27095634920636,22.27,21.328571428571426,19.662497590702948,-1.323925355309696,36.715995201186985
Kariobangi South,20.99185978835979,68.5,23.445,22.860714285714288,21.39904761904762,-1.2737231211068374,36.88589566731699
Kariokor,23.44834375,61.17197916666667,19.555,20.650714285714287,23.549885484241287,-1.277183152560817,36.83963757776908
Karura Forest,21.248907572751325,68.61941137566137,15.469999999999999,15.432142857142857,21.404303280240196,-1.2481371707183198,36.84518774348813
Kasarani,21.36362891313933,69.3746121708153,17.14,17.585714285714285,21.250150278293138,-1.2286422769485026,36.928415516235056
Kasarani Mwiki Road,21.536,68.17316049933862,16.41,17.59142857142857,21.519918181456525,-1.217937259058005,36.90785270319325
Kawangware,22.93051247165533,64.25933369076797,17.545,18.96857142857143,22.85001914165693,-1.293673153308629,36.74858036508263
Kayole 1,21.496062775987593,68.72072364069896,24.04,28.240000000000002,21.459836297837846,-1.2629607589445364,36.92412465275871
"Kenyatta University, Nairobi",26.71571841055769,51.96337558275059,28.105,26.577142857142857,26.864563759335887,-1.1889850656268872,36.92911020372537
Kiamaiko,22.86282690611857,61.90200877192982,26.19,26.968571428571433,23.03410566240385,-1.2515754183465515,36.87333121401361
Kibra,21.07763009639401,66.1050046998624,21.45,21.77857142857143,21.401389956936857,-1.3115569713150843,36.77915509668673
Kifaru Umoja II,19.353006764069264,72.63222023809523,19.125,22.658571428571427,19.339437415591703,-1.28062888951223,36.900270689579614
Kihumbuini Kangemi,21.39894450975999,64.29777349529235,24.14,25.542857142857144,21.1828007762268,-1.2615194424401075,36.74823012510328
Kimathi Makadara,21.19400635822511,71.9674475664662,24.74,23.861428571428572,21.243647279850727,-1.2882163052375486,36.86745749922032
Kiwanja,21.02142794486216,66.56407638888889,17.655,18.07,20.823688243754198,-1.1653978103562463,36.92438921969144
Kuwinda Lang'ata Road,22.4119765790088,72.26356771894542,24.905,24.617142857142856,22.08684265700959,-1.3424200286399366,36.74005243100645
Langata,21.09754523809524,65.65357918258212,19.91,22.617142857142856,21.014742394625486,-1.312971614317538,36.8144249491904
Lower Kabete,20.762680400125443,68.94908653846154,18.925,20.53142857142857,20.813432128869177,-1.2380065611911386,36.74280614781616
Makadara,21.604925595238093,66.53753373015873,22.42,24.211428571428574,21.73025455876795,-1.298235924848849,36.87680788200467
Mamlaka Road,25.022655251480423,80.26381185590725,18.415,19.299285714285716,25.086180179603602,-1.2840435444930889,36.81484534647335
Manyatta Ruai,21.605898795395355,67.32689286210777,18.36,18.524285714285714,21.71780294493342,-1.2842247639679285,37.02409498648996
Marurui,20.581934080387207,74.87178364748678,17.83,17.90285714285714,20.689934783635675,-1.2068147395891755,36.8665081890342
Mbagathi,20.57117481203008,69.19403521825397,19.87,21.947142857142858,20.620390999140728,-1.3084945234609866,36.79706624929086
"Mbotela Jogoo RD, Nairobi",23.23403388746803,64.60855371788605,17.27,19.374285714285715,23.01667255713511,-1.3033981153295733,36.85939299787696
Mihango,21.040925685425687,71.86574999999999,17.825000000000003,17.283571428571427,20.913405212386955,-1.274492365232934,36.9538326827178
Mowlem,22.575019345238097,64.70044294131795,25.9,27.59857142857143,22.745952995086924,-1.2710045412640465,36.89733154420061
Muguga Westlands,21.344380853174602,65.853536663216,20.06,22.990000000000002,21.222419472380924,-1.2562886934449806,36.79262959291358
Mukuru CC,23.029719924812028,66.15347149122806,18.18,20.715714285714284,22.971660128069608,,
Mukuru HC,20.71949226190476,69.05585590277778,22.05,21.445714285714285,20.866096129848042,-1.3318559872573688,36.786539027393815
Mukuru Kwa Reuben,23.702358717826144,58.725628434147396,23.01,22.595714285714287,23.351657275705115,-1.3135692312347256,36.86607953842858
Mutuini,17.764275793650793,76.10027083333334,29.32,30.240000000000002,17.408061900379636,-1.2964080857709033,36.69305303544921
NCC Embakasi,24.880636768818896,62.26103174603176,19.045,19.897142857142853,24.77318262309578,-1.3109650560555703,36.91170041631061
Nairobi City Hall,26.366921080602065,55.902792945906434,19.509999999999998,20.055,26.283895961627636,-1.285958354697364,36.81732423945488
OTC Bus Stage,26.438545027335103,58.896016948636586,17.56,19.05,26.451899624091613,-1.2835083207682407,36.8342797585065
Ol Leleshwa Road,22.407155109997216,63.43349273783588,28.465,32.712857142857146,22.343985466920028,-1.2742328826896177,36.8795006289382
Olenguruone Avenue North Lavington,20.09684623323013,73.6615022675737,13.940000000000001,13.784285714285714,20.433417163100888,-1.2789212781582129,36.770044985393206
"Parklands, Nairobi",28.2352625,47.27446130952381,16.2,16.53857142857143,28.326586136922934,-1.2738924241613991,36.81425370859827
"Popo Road, Nairobi",23.622591713659148,64.0203436404865,21.41,21.479999999999997,23.583605416001635,-1.3227414460243954,36.84119078610918
Riruta,21.326290103508175,76.6464473514685,18.62,20.142857142857142,22.16538549081928,-1.3041274108465322,36.72848321191413
Riruta Satellite,19.194464903956757,71.1879751984127,20.11,21.01142857142857,19.264276218820864,-1.2880634256065295,36.736336685674814
Rosslyn Ridge,22.37893562610229,66.45155290529902,18.33,19.027142857142856,22.37893562610229,-1.2200156135406095,36.8063789979987
"Ruai, Nairobi",24.253138138658045,65.66741260988573,18.96,19.994285714285713,24.069135697484885,-1.2613117062782706,36.99237559546838
Ruaka Road Runda,21.081863617376776,68.59274844720497,22.175,23.640714285714285,21.295613999871286,-1.2179825520190413,36.82132632050631
Thawabu,21.78860962301588,66.77855357142857,21.21,22.54,21.703255045249758,,
UN Avenue Gigiri,22.37893562610229,66.45155290529902,19.675,20.98642857142857,22.37893562610229,-1.2335343738618283,36.816353389263945
Uhuru Estate Buruburu,21.054169560185187,68.05989578547062,23.63,25.07571428571428,21.172823767006804,-1.2851960308837662,36.86753369492803
Uhuru Gardens,20.886311722934792,70.59439667621434,18.17,18.35857142857143,21.151085264870684,-1.3229553629134476,36.88386980714638
Uhuru Park,23.72411826560536,62.5843483426704,18.915,20.307857142857145,23.64171978196955,-1.2865902833199034,36.81358082628137
UoN parklands Campus,24.78487747778537,76.25377624617097,19.04,20.025714285714287,24.825390755639823,-1.26492,36.82126
Ushirika Dandora V,21.54146565934066,67.177766563147,21.564999999999998,24.807142857142857,21.47558970373499,-1.2439841592436072,36.90857758377062
Visa Oshwal Parklands,20.257298363095238,69.29706415343915,19.84,21.244285714285716,20.38027014833711,-1.2569321172119583,36.81022218176247
Woodley Kibera,21.619510008236706,71.95366774780088,20.93,21.057142857142857,21.49048202077973,-1.30321,36.77775
